"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 16, 2020","24,920.0","25,473.0","25,665.0","24,887.0","201.12K","-2.25%"
"Jul 15, 2020","25,494.0","25,518.0","25,899.0","25,305.0","176.76K","-0.18%"
"Jul 14, 2020","25,540.0","25,769.0","26,031.0","25,252.0","189.68K","-0.81%"
"Jul 13, 2020","25,749.0","25,676.0","26,109.0","25,610.0","152.88K","0.21%"
"Jul 10, 2020","25,695.0","26,225.0","26,316.0","25,549.0","180.10K","-2.10%"
"Jul 09, 2020","26,246.0","26,039.0","26,389.0","25,957.0","161.08K","0.71%"
"Jul 08, 2020","26,062.0","25,945.0","26,329.0","25,874.0","175.79K","0.35%"
"Jul 07, 2020","25,970.0","26,296.0","26,791.0","25,931.0","205.29K","-1.37%"
"Jul 06, 2020","26,331.0","25,311.0","26,442.0","25,166.0","191.17K","4.10%"
"Jul 03, 2020","25,295.0","25,111.0","25,417.0","24,989.0","151.10K","0.63%"
"Jul 02, 2020","25,137.0","24,228.0","25,153.0","24,129.0","159.82K","3.67%"
"Jun 30, 2020","24,247.0","24,077.0","24,406.0","24,057.0","127.64K","-0.23%"
"Jun 29, 2020","24,302.0","24,552.0","24,670.0","24,231.0","26.99K","-0.83%"
"Jun 26, 2020","24,506.0","24,666.0","24,757.0","24,375.0","129.47K","-0.81%"
"Jun 24, 2020","24,707.0","24,920.0","25,128.0","24,650.0","189.62K","-0.98%"
"Jun 23, 2020","24,952.0","24,493.0","24,980.0","24,137.0","230.59K","2.03%"
"Jun 22, 2020","24,455.0","24,659.0","24,709.0","24,299.0","134.78K","-0.63%"
"Jun 19, 2020","24,610.0","24,340.0","24,731.0","24,207.0","144.33K","1.07%"
"Jun 18, 2020","24,350.0","24,380.0","24,439.0","24,015.0","142.90K","-0.21%"
"Jun 17, 2020","24,402.0","24,360.0","24,632.0","24,076.0","159.14K","0.19%"
"Jun 16, 2020","24,355.0","23,710.0","24,475.0","23,675.0","159.83K","2.76%"
"Jun 15, 2020","23,702.0","24,242.0","24,384.0","23,555.0","189.28K","-2.11%"
"Jun 12, 2020","24,212.0","24,325.0","24,487.0","23,785.0","169.80K","-0.63%"
"Jun 11, 2020","24,366.0","24,987.0","25,082.0","24,328.0","162.17K","-2.23%"
"Jun 10, 2020","24,920.5","25,008.0","25,253.5","24,813.5","-","0.22%"
"Jun 09, 2020","24,867.0","24,750.0","25,183.0","24,683.0","141.54K","0.49%"
"Jun 08, 2020","24,745.0","24,667.0","25,075.0","24,597.0","148.62K","0.19%"
"Jun 05, 2020","24,697.0","24,280.0","24,780.0","24,145.0","152.46K","1.67%"
"Jun 04, 2020","24,291.0","24,260.0","24,619.0","24,117.0","147.22K","0.20%"
"Jun 03, 2020","24,243.0","23,970.0","24,355.0","23,921.0","142.02K","1.28%"
"Jun 02, 2020","23,937.0","23,438.0","23,959.0","23,322.0","146.92K","2.19%"
"Jun 01, 2020","23,425.0","22,780.0","23,661.0","22,613.0","173.32K","2.88%"
"May 29, 2020","22,769.0","22,907.0","23,079.0","22,389.0","160.02K","-1.55%"
"May 28, 2020","23,128.0","23,230.0","23,466.0","22,896.0","37.83K","-0.33%"
"May 27, 2020","23,205.0","23,361.0","23,509.0","23,103.0","148.25K","-0.64%"
"May 26, 2020","23,355.0","23,140.0","23,478.0","23,140.0","182.87K","2.04%"
"May 25, 2020","22,889.0","22,712.0","23,028.0","22,498.0","215.98K","0.83%"
"May 22, 2020","22,701.0","24,147.0","24,160.0","22,700.0","253.02K","-5.91%"
"May 21, 2020","24,128.0","24,441.0","24,640.0","24,114.0","137.74K","-1.28%"
"May 20, 2020","24,441.0","24,340.0","24,484.0","24,259.0","106.32K","0.41%"
"May 19, 2020","24,340.0","23,924.0","24,548.0","23,843.0","142.66K","1.74%"
"May 18, 2020","23,924.0","23,696.0","23,936.0","23,388.0","123.70K","1.06%"
"May 15, 2020","23,672.0","23,704.0","23,911.0","23,421.0","146.85K","-0.05%"
"May 14, 2020","23,685.0","24,079.0","24,303.0","23,638.0","144.23K","-1.60%"
"May 13, 2020","24,069.0","24,145.0","24,352.0","23,876.0","122.96K","-0.35%"
"May 12, 2020","24,153.0","24,468.0","24,468.0","24,001.0","122.30K","-1.36%"
"May 11, 2020","24,486.0","24,130.0","24,700.0","24,104.0","107.45K","1.51%"
"May 08, 2020","24,121.0","23,855.0","24,198.0","23,792.0","100.05K","1.14%"
"May 07, 2020","23,848.0","24,083.0","24,083.0","23,769.0","103.35K","-0.85%"
"May 06, 2020","24,053.0","23,750.0","24,132.0","23,613.0","112.13K","1.24%"
"May 05, 2020","23,759.0","23,300.0","23,800.0","23,241.0","98.11K","1.65%"
"May 04, 2020","23,373.0","24,532.0","24,758.0","23,305.0","135.65K","-4.61%"
"Apr 29, 2020","24,502.0","24,578.0","24,777.0","24,441.0","111.26K","0.27%"
"Apr 28, 2020","24,435.0","24,278.0","24,447.0","24,185.0","29.89K","0.68%"
"Apr 27, 2020","24,269.0","23,840.0","24,333.0","23,840.0","134.62K","1.83%"
"Apr 24, 2020","23,834.0","23,999.0","24,238.0","23,677.0","156.97K","-0.65%"
"Apr 23, 2020","23,991.0","23,899.0","24,097.0","23,759.0","157.92K","0.51%"
"Apr 22, 2020","23,869.0","23,689.0","23,928.0","23,418.0","140.53K","0.59%"
"Apr 21, 2020","23,730.0","24,306.0","24,343.0","23,631.0","151.71K","-2.27%"
"Apr 20, 2020","24,280.0","24,358.0","24,474.0","24,176.0","123.18K","-0.32%"
"Apr 17, 2020","24,359.0","23,948.0","24,689.0","23,827.0","137.48K","1.72%"
"Apr 16, 2020","23,948.0","24,021.0","24,124.0","23,793.0","124.87K","-0.43%"
"Apr 15, 2020","24,052.0","24,419.0","24,610.0","24,022.0","123.65K","-1.46%"
"Apr 14, 2020","24,408.0","24,183.0","24,598.0","23,959.0","137.94K","0.82%"
"Apr 09, 2020","24,209.0","23,781.0","24,343.0","23,767.0","132.72K","1.87%"
"Apr 08, 2020","23,764.0","24,370.0","24,606.0","23,764.0","154.22K","-2.70%"
"Apr 07, 2020","24,423.0","23,750.0","24,439.0","23,686.0","159.25K","2.88%"
"Apr 06, 2020","23,740.0","23,173.0","23,865.0","22,970.0","151.15K","2.35%"
"Apr 03, 2020","23,196.0","23,241.0","23,280.0","22,908.0","133.04K","-0.31%"
"Apr 02, 2020","23,269.0","23,000.0","23,280.0","22,561.0","160.57K","1.48%"
"Apr 01, 2020","22,930.0","23,698.0","23,730.0","22,886.0","176.60K","-3.33%"
"Mar 31, 2020","23,720.0","23,024.0","23,750.0","22,917.0","148.61K","2.10%"
"Mar 30, 2020","23,232.0","23,405.0","23,432.0","22,797.0","43.59K","-1.15%"
"Mar 27, 2020","23,502.0","23,128.0","24,048.0","23,128.0","183.87K","1.39%"
"Mar 26, 2020","23,180.0","23,646.0","23,879.0","23,096.0","240.71K","-1.85%"
"Mar 25, 2020","23,618.0","22,773.0","23,638.0","22,773.0","235.67K","3.92%"
"Mar 24, 2020","22,728.0","21,497.0","22,788.0","21,497.0","233.32K","5.73%"
"Mar 23, 2020","21,496.0","23,093.0","23,196.0","21,296.0","216.45K","-6.77%"
"Mar 20, 2020","23,057.0","21,765.0","23,105.0","21,492.0","230.17K","5.57%"
"Mar 19, 2020","21,841.0","22,003.0","22,366.0","20,965.0","266.53K","-0.75%"
"Mar 18, 2020","22,006.0","22,932.0","23,417.0","22,000.0","229.46K","-4.40%"
"Mar 17, 2020","23,019.0","22,686.0","23,390.0","21,588.0","212.71K","1.30%"
"Mar 16, 2020","22,724.0","23,850.0","24,749.0","22,666.0","209.55K","-4.73%"
"Mar 13, 2020","23,853.0","24,032.0","24,175.0","22,116.0","259.18K","-0.92%"
"Mar 12, 2020","24,075.0","25,170.0","25,330.0","24,001.0","222.43K","-4.19%"
"Mar 11, 2020","25,129.0","25,477.0","25,743.0","25,085.0","217.64K","-1.26%"
"Mar 10, 2020","25,449.0","24,990.0","25,564.0","24,360.0","249.80K","2.41%"
"Mar 09, 2020","24,850.0","26,007.0","26,014.0","24,814.0","232.31K","-4.46%"
"Mar 06, 2020","26,010.0","26,650.0","26,670.0","26,008.0","198.60K","-2.60%"
"Mar 05, 2020","26,704.0","26,163.0","26,769.0","26,163.0","206.95K","2.11%"
"Mar 04, 2020","26,152.0","26,337.0","26,611.0","25,971.0","216.37K","-0.60%"
"Mar 03, 2020","26,311.0","26,250.0","26,530.0","25,827.0","215.75K","0.05%"
"Mar 02, 2020","26,299.0","26,127.0","26,357.0","25,582.0","247.76K","0.49%"
"Feb 28, 2020","26,170.0","26,735.0","26,834.0","25,923.0","283.92K","-1.45%"
"Feb 27, 2020","26,554.0","26,555.0","26,813.0","26,218.0","50.36K","-0.10%"
"Feb 26, 2020","26,580.0","26,747.0","26,747.0","26,296.0","201.42K","-0.65%"
"Feb 25, 2020","26,754.0","26,647.0","26,825.0","26,310.0","247.38K","0.34%"
"Feb 24, 2020","26,663.0","27,225.0","27,335.0","26,662.0","227.91K","-1.97%"
"Feb 21, 2020","27,200.0","27,450.0","27,465.0","27,155.0","170.15K","-0.80%"
"Feb 20, 2020","27,420.0","27,589.0","27,721.0","27,262.0","193.26K","-0.53%"
"Feb 19, 2020","27,565.0","27,422.0","27,650.0","27,341.0","142.80K","0.51%"
"Feb 18, 2020","27,426.0","27,838.0","27,893.0","27,424.0","145.68K","-1.49%"
"Feb 17, 2020","27,842.0","27,741.0","28,012.0","27,576.0","141.38K","0.32%"
"Feb 14, 2020","27,753.0","27,654.0","27,908.0","27,495.0","153.77K","0.34%"
"Feb 13, 2020","27,658.0","27,793.0","27,900.0","27,590.0","151.93K","-0.40%"
"Feb 12, 2020","27,770.0","27,560.0","27,820.0","27,496.0","151.85K","0.73%"
"Feb 11, 2020","27,569.0","27,120.0","27,622.0","27,042.0","153.49K","1.75%"
"Feb 10, 2020","27,094.0","27,266.0","27,291.0","26,905.0","171.56K","-0.66%"
"Feb 07, 2020","27,274.0","27,413.0","27,413.0","27,129.0","169.52K","-0.38%"
"Feb 06, 2020","27,377.0","26,747.0","27,568.0","26,747.0","240.18K","2.38%"
"Feb 05, 2020","26,740.0","26,757.0","26,936.0","26,526.0","205.47K","-0.14%"
"Feb 04, 2020","26,777.0","26,250.0","26,777.0","26,205.0","203.27K","2.20%"
"Feb 03, 2020","26,200.0","26,222.0","26,460.0","25,880.0","228.72K","-0.13%"
"Jan 31, 2020","26,233.0","26,386.0","26,760.0","26,230.0","196.39K","-1.60%"
"Jan 30, 2020","26,660.0","27,120.0","27,162.0","26,653.0","34.80K","-1.71%"
"Jan 29, 2020","27,125.0","27,010.0","27,338.0","26,998.0","145.34K","-2.85%"
"Jan 24, 2020","27,920.0","27,800.0","27,965.0","27,556.0","117.04K","0.38%"
"Jan 23, 2020","27,815.0","28,293.0","28,299.0","27,703.0","259.84K","-1.78%"
"Jan 22, 2020","28,318.0","27,902.0","28,379.0","27,902.0","210.44K","1.49%"
"Jan 21, 2020","27,901.0","28,678.0","28,755.0","27,843.0","221.30K","-2.77%"
"Jan 20, 2020","28,695.0","29,073.0","29,211.0","28,686.0","159.12K","-1.27%"
"Jan 17, 2020","29,065.0","28,899.0","29,161.0","28,807.0","163.87K","0.59%"
"Jan 16, 2020","28,895.0","28,751.0","29,040.0","28,734.0","160.40K","0.50%"
"Jan 15, 2020","28,752.0","28,805.0","29,030.0","28,659.0","156.48K","-0.16%"
"Jan 14, 2020","28,799.0","28,962.0","29,222.0","28,793.0","160.28K","-0.56%"
"Jan 13, 2020","28,962.0","28,655.0","29,039.0","28,649.0","153.05K","1.03%"
"Jan 10, 2020","28,666.0","28,628.0","28,726.0","28,511.0","136.19K","0.15%"
"Jan 09, 2020","28,622.0","28,064.0","28,633.0","28,064.0","148.79K","2.01%"
"Jan 08, 2020","28,058.0","28,359.0","28,395.0","27,865.0","187.17K","-1.14%"
"Jan 07, 2020","28,382.0","28,175.0","28,529.0","28,100.0","148.41K","0.71%"
"Jan 06, 2020","28,181.0","28,430.0","28,535.0","28,077.0","175.87K","-0.92%"
"Jan 03, 2020","28,443.0","28,628.0","28,947.0","28,425.0","178.09K","-0.57%"
"Jan 02, 2020","28,606.0","28,363.0","28,631.0","28,211.0","134.97K","1.19%"
"Dec 31, 2019","28,270.0","28,408.0","28,467.0","28,198.0","88.63K","-0.28%"
"Dec 30, 2019","28,348.0","28,219.0","28,396.0","28,180.0","24.95K","0.46%"
"Dec 27, 2019","28,219.0","28,022.0","28,258.0","28,020.0","123.75K","1.22%"
"Dec 24, 2019","27,880.0","27,864.0","27,922.0","27,798.0","102.92K","0.09%"
"Dec 23, 2019","27,856.0","27,948.0","28,080.0","27,846.0","186.40K","-0.30%"
"Dec 20, 2019","27,940.0","27,819.0","28,014.0","27,752.0","161.19K","0.49%"
"Dec 19, 2019","27,804.0","27,915.0","27,976.0","27,692.0","135.09K","-0.40%"
"Dec 18, 2019","27,917.0","27,829.0","28,032.0","27,765.0","156.54K","0.32%"
"Dec 17, 2019","27,829.0","27,579.0","27,922.0","27,563.0","174.50K","0.90%"
"Dec 16, 2019","27,580.0","27,719.0","27,889.0","27,447.0","185.57K","-0.45%"
"Dec 13, 2019","27,704.0","27,013.0","27,746.0","26,916.0","183.75K","2.56%"
"Dec 12, 2019","27,012.0","26,640.0","27,095.0","26,588.0","137.29K","1.35%"
"Dec 11, 2019","26,653.0","26,409.0","26,689.0","26,262.0","145.66K","0.90%"
"Dec 10, 2019","26,416.0","26,500.0","26,573.0","26,291.0","110.34K","-0.38%"
"Dec 09, 2019","26,516.0","26,507.0","26,664.0","26,425.0","137.54K","0.05%"
"Dec 06, 2019","26,503.0","26,240.0","26,555.0","26,194.0","141.00K","0.98%"
"Dec 05, 2019","26,246.0","26,084.0","26,327.0","26,084.0","141.30K","0.71%"
"Dec 04, 2019","26,062.0","26,399.0","26,413.0","25,949.0","171.37K","-1.21%"
"Dec 03, 2019","26,381.0","26,490.0","26,500.0","26,062.0","174.99K","-0.40%"
"Dec 02, 2019","26,488.0","26,373.0","26,576.0","26,337.0","127.90K","0.59%"
"Nov 29, 2019","26,333.0","26,868.0","26,918.0","26,323.0","169.74K","-2.17%"
"Nov 28, 2019","26,918.0","26,958.0","27,022.0","26,729.0","22.53K","-0.13%"
"Nov 27, 2019","26,954.0","26,943.0","27,017.0","26,876.0","129.17K","-0.10%"
"Nov 26, 2019","26,980.0","27,014.0","27,267.0","26,923.0","208.35K","-0.17%"
"Nov 25, 2019","27,025.0","26,611.0","27,141.0","26,554.0","206.21K","1.51%"
"Nov 22, 2019","26,623.0","26,442.0","26,675.0","26,442.0","153.88K","0.69%"
"Nov 21, 2019","26,441.0","26,800.0","26,868.0","26,266.0","196.42K","-1.35%"
"Nov 20, 2019","26,803.0","27,084.0","27,123.0","26,776.0","153.78K","-1.02%"
"Nov 19, 2019","27,079.0","26,661.0","27,106.0","26,500.0","196.49K","1.49%"
"Nov 18, 2019","26,682.0","26,295.0","26,705.0","26,227.0","173.04K","1.53%"
"Nov 15, 2019","26,280.0","26,318.0","26,617.0","26,250.0","161.86K","-0.18%"
"Nov 14, 2019","26,328.0","26,484.0","26,625.0","26,178.0","218.70K","-0.60%"
"Nov 13, 2019","26,487.0","26,975.0","27,006.0","26,444.0","194.21K","-1.83%"
"Nov 12, 2019","26,982.0","26,990.0","27,212.0","26,776.0","190.53K","-0.04%"
"Nov 11, 2019","26,994.0","27,674.0","27,720.0","26,808.0","209.66K","-2.48%"
"Nov 08, 2019","27,680.0","27,828.0","27,938.0","27,591.0","158.50K","-0.53%"
"Nov 07, 2019","27,828.0","27,739.0","27,949.0","27,541.0","191.65K","0.31%"
"Nov 06, 2019","27,741.0","27,679.0","27,796.0","27,544.0","149.10K","0.20%"
"Nov 05, 2019","27,685.0","27,610.0","27,763.0","27,457.0","169.92K","0.28%"
"Nov 04, 2019","27,607.0","27,142.0","27,609.0","27,126.0","149.66K","1.69%"
"Nov 01, 2019","27,148.0","26,964.0","27,150.0","26,676.0","159.14K","0.61%"
"Oct 31, 2019","26,984.0","26,628.0","27,042.0","26,563.0","154.46K","1.16%"
"Oct 30, 2019","26,674.0","26,731.0","26,805.0","26,616.0","25.64K","-0.19%"
"Oct 29, 2019","26,726.0","26,903.0","27,078.0","26,717.0","157.68K","-0.70%"
"Oct 28, 2019","26,914.0","26,691.0","27,041.0","26,671.0","217.93K","0.85%"
"Oct 25, 2019","26,686.0","26,763.0","26,818.0","26,594.0","182.27K","-0.28%"
"Oct 24, 2019","26,761.0","26,524.0","26,835.0","26,482.0","166.06K","0.89%"
"Oct 23, 2019","26,526.0","26,786.0","26,872.0","26,457.0","166.30K","-0.95%"
"Oct 22, 2019","26,781.0","26,691.0","26,896.0","26,650.0","144.74K","0.33%"
"Oct 21, 2019","26,693.0","26,675.0","26,843.0","26,604.0","138.19K","0.07%"
"Oct 18, 2019","26,675.0","26,890.0","27,016.0","26,657.0","174.85K","-0.78%"
"Oct 17, 2019","26,885.0","26,634.0","26,988.0","26,598.0","159.09K","0.91%"
"Oct 16, 2019","26,642.0","26,479.0","26,739.0","26,383.0","203.74K","0.59%"
"Oct 15, 2019","26,485.0","26,532.0","26,636.0","26,380.0","146.94K","-0.18%"
"Oct 14, 2019","26,532.0","26,420.0","26,677.0","26,373.0","187.75K","0.46%"
"Oct 11, 2019","26,410.0","25,785.0","26,446.0","25,751.0","188.44K","2.33%"
"Oct 10, 2019","25,809.0","25,681.0","25,843.0","25,507.0","184.48K","0.57%"
"Oct 09, 2019","25,662.0","25,870.0","25,882.0","25,621.0","174.45K","-0.79%"
"Oct 08, 2019","25,867.0","25,800.0","26,202.0","25,623.0","208.40K","0.11%"
"Oct 07, 2019","25,839.5","25,839.5","25,839.5","25,839.5","-","0.20%"
"Oct 04, 2019","25,787.0","26,138.0","26,175.0","25,566.0","205.25K","-1.36%"
"Oct 03, 2019","26,143.0","25,944.0","26,220.0","25,673.0","170.65K","0.75%"
"Oct 02, 2019","25,948.0","26,066.0","26,087.0","25,750.0","140.09K","-0.15%"
"Oct 01, 2019","25,987.5","25,987.5","25,987.5","25,987.5","-","-0.21%"
"Sep 30, 2019","26,042.0","25,967.0","26,158.0","25,656.0","169.18K","0.36%"
"Sep 27, 2019","25,949.0","26,033.0","26,074.0","25,811.0","27.00K","-0.28%"
"Sep 26, 2019","26,022.0","25,898.0","26,107.0","25,850.0","149.26K","0.45%"
"Sep 25, 2019","25,906.0","26,298.0","26,318.0","25,900.0","252.14K","-1.48%"
"Sep 24, 2019","26,294.0","26,139.0","26,431.0","26,121.0","206.81K","0.62%"
"Sep 23, 2019","26,133.0","26,433.0","26,524.0","26,119.0","178.22K","-1.11%"
"Sep 20, 2019","26,425.0","26,497.0","26,621.0","26,406.0","141.48K","-0.24%"
"Sep 19, 2019","26,489.0","26,720.0","26,831.0","26,345.0","183.39K","-0.91%"
"Sep 18, 2019","26,731.0","26,747.0","26,910.0","26,703.0","127.48K","-0.06%"
"Sep 17, 2019","26,747.0","27,050.0","27,092.0","26,676.0","150.79K","-1.13%"
"Sep 16, 2019","27,054.0","27,307.0","27,394.0","26,959.0","140.05K","-0.93%"
"Sep 13, 2019","27,309.0","27,074.0","27,387.0","26,980.0","129.08K","0.86%"
"Sep 12, 2019","27,076.0","27,080.0","27,335.0","26,940.0","165.63K","-0.12%"
"Sep 11, 2019","27,109.0","26,641.0","27,158.0","26,641.0","213.13K","1.81%"
"Sep 10, 2019","26,628.0","26,640.0","26,890.0","26,604.0","146.28K","-0.08%"
"Sep 09, 2019","26,650.0","26,591.0","26,795.0","26,506.0","153.84K","0.25%"
"Sep 06, 2019","26,584.0","26,712.0","26,799.0","26,489.0","161.34K","0.55%"
"Sep 05, 2019","26,438.0","26,476.0","26,683.0","26,222.0","60.07K","-0.14%"
"Sep 04, 2019","26,476.0","25,477.0","26,634.0","25,392.0","298.55K","3.96%"
"Sep 03, 2019","25,468.0","25,495.0","25,663.0","25,313.0","175.85K","-0.15%"
"Sep 02, 2019","25,505.0","25,629.0","25,709.0","25,391.0","165.67K","-0.41%"
"Aug 30, 2019","25,610.0","25,660.0","25,935.0","25,412.0","221.21K","0.28%"
"Aug 29, 2019","25,539.0","25,614.0","25,681.0","25,377.0","37.77K","-0.35%"
"Aug 28, 2019","25,629.0","25,655.0","25,864.0","25,556.0","169.40K","-0.09%"
"Aug 27, 2019","25,651.0","25,700.0","25,878.0","25,533.0","236.86K","-0.04%"
"Aug 26, 2019","25,661.0","26,102.0","26,122.0","25,156.0","315.42K","-1.73%"
"Aug 23, 2019","26,113.0","25,950.0","26,187.0","25,810.0","169.22K","0.61%"
"Aug 22, 2019","25,955.0","26,238.0","26,305.0","25,903.0","190.74K","-1.05%"
"Aug 21, 2019","26,231.0","26,200.0","26,271.0","26,014.0","167.53K","0.06%"
"Aug 20, 2019","26,215.0","26,198.0","26,380.0","26,051.0","185.70K","0.09%"
"Aug 19, 2019","26,191.0","25,686.0","26,280.0","25,535.0","189.39K","2.18%"
"Aug 16, 2019","25,632.0","25,387.0","25,733.0","25,105.0","250.90K","0.80%"
"Aug 15, 2019","25,428.0","25,161.0","25,475.0","24,791.0","260.66K","0.86%"
"Aug 14, 2019","25,210.0","25,190.0","25,905.0","25,053.0","243.53K","-0.00%"
"Aug 13, 2019","25,211.0","25,548.0","25,548.0","25,163.0","219.38K","-1.37%"
"Aug 12, 2019","25,560.0","25,894.0","26,011.0","25,550.0","181.96K","-1.28%"
"Aug 09, 2019","25,891.0","26,038.0","26,206.0","25,820.0","175.14K","-0.49%"
"Aug 08, 2019","26,019.0","25,946.0","26,246.0","25,595.0","216.73K","0.29%"
"Aug 07, 2019","25,943.0","25,973.0","26,085.0","25,634.0","234.83K","-0.11%"
"Aug 06, 2019","25,971.0","26,023.0","26,118.0","25,219.0","321.99K","-0.24%"
"Aug 05, 2019","26,033.0","26,803.0","26,880.0","25,999.0","265.53K","-2.93%"
"Aug 02, 2019","26,818.0","27,458.0","27,660.0","26,688.0","215.40K","-2.28%"
"Aug 01, 2019","27,445.0","27,525.0","27,685.0","27,401.0","168.54K","-1.12%"
"Jul 31, 2019","27,757.0","28,109.0","28,109.0","27,632.0","171.84K","-1.57%"
"Jul 30, 2019","28,201.0","28,128.0","28,253.0","28,062.0","27.19K","0.23%"
"Jul 29, 2019","28,135.0","28,388.0","28,427.0","27,937.0","200.78K","-0.88%"
"Jul 26, 2019","28,385.0","28,582.0","28,663.0","28,311.0","228.93K","-0.70%"
"Jul 25, 2019","28,586.0","28,524.0","28,652.0","28,490.0","174.30K","0.18%"
"Jul 24, 2019","28,536.0","28,476.0","28,774.0","28,441.0","170.54K","0.27%"
"Jul 23, 2019","28,459.0","28,362.0","28,489.0","28,290.0","144.45K","0.30%"
"Jul 22, 2019","28,373.0","28,814.0","28,814.0","28,281.0","216.57K","-1.55%"
"Jul 19, 2019","28,821.0","28,451.0","28,841.0","28,393.0","159.69K","1.39%"
"Jul 18, 2019","28,427.0","28,616.0","28,638.0","28,311.0","174.23K","-0.66%"
"Jul 17, 2019","28,616.0","28,621.0","28,657.0","28,358.0","160.08K","-0.02%"
"Jul 16, 2019","28,622.0","28,530.0","28,661.0","28,474.0","163.81K","0.35%"
"Jul 15, 2019","28,523.0","28,530.0","28,598.0","28,052.0","203.78K","-0.06%"
"Jul 12, 2019","28,539.0","28,455.0","28,609.0","28,289.0","176.94K","0.30%"
"Jul 11, 2019","28,454.0","28,199.0","28,614.0","28,138.0","180.77K","0.89%"
"Jul 10, 2019","28,202.0","28,100.0","28,345.0","28,087.0","163.25K","0.35%"
"Jul 09, 2019","28,103.0","28,354.0","28,444.0","28,091.0","191.41K","-0.91%"
"Jul 08, 2019","28,360.0","28,775.0","28,800.0","28,213.0","202.21K","-1.46%"
"Jul 05, 2019","28,780.0","28,851.0","28,962.0","28,753.0","151.36K","-0.24%"
"Jul 04, 2019","28,849.0","28,941.0","29,080.0","28,834.0","168.29K","-0.27%"
"Jul 03, 2019","28,926.0","28,931.0","28,992.0","28,766.0","167.45K","-0.02%"
"Jul 02, 2019","28,932.0","28,514.0","29,054.0","28,478.0","180.75K","1.56%"
"Jul 01, 2019","28,487.5","28,487.5","28,487.5","28,487.5","-","-0.06%"
"Jun 28, 2019","28,505.0","28,553.0","28,579.0","28,367.0","154.44K","-0.05%"
"Jun 27, 2019","28,519.0","28,209.0","28,526.0","28,209.0","38.68K","1.17%"
"Jun 26, 2019","28,190.0","28,156.0","28,275.0","27,989.0","194.18K","0.11%"
"Jun 25, 2019","28,158.0","28,414.0","28,489.0","28,079.0","254.82K","-0.93%"
"Jun 24, 2019","28,422.0","28,437.0","28,605.0","28,314.0","214.58K","0.00%"
"Jun 21, 2019","28,422.0","28,519.0","28,688.0","28,298.0","220.45K","-0.33%"
"Jun 20, 2019","28,515.0","28,146.0","28,519.0","28,080.0","209.03K","1.31%"
"Jun 19, 2019","28,146.0","27,459.0","28,197.0","27,447.0","237.29K","2.57%"
"Jun 18, 2019","27,442.0","27,157.0","27,519.0","27,096.0","207.01K","1.09%"
"Jun 17, 2019","27,147.0","27,048.0","27,446.0","26,907.0","196.32K","0.38%"
"Jun 14, 2019","27,043.0","27,170.0","27,243.0","26,952.0","180.69K","-0.41%"
"Jun 13, 2019","27,153.0","27,120.0","27,199.0","26,702.0","251.59K","0.11%"
"Jun 12, 2019","27,122.0","27,688.0","27,770.0","27,106.0","196.29K","-2.04%"
"Jun 11, 2019","27,688.0","27,458.0","27,756.0","27,436.0","186.31K","0.80%"
"Jun 10, 2019","27,469.0","26,844.0","27,516.0","26,773.0","196.93K","2.46%"
"Jun 07, 2019","26,809.0","26,809.0","26,809.0","26,809.0","-","-0.15%"
